1 -7.55652 -7.55652 0
2 -7.55809 -7.5573 0.000554308
3 -7.5478 -7.55414 0.00261342
4 -7.53735 -7.54994 0.00412904
5 -7.53902 -7.54776 0.00383768
6 -7.55128 -7.54834 0.00324261
7 -7.55225 -7.5489 0.00282695
8 -7.5658 -7.55101 0.0031658
9 -7.5491 -7.5508 0.00282117
10 -7.55538 -7.55126 0.00257598
11 -7.53838 -7.55009 0.0025941
12 -7.55337 -7.55036 0.00239231
13 -7.55878 -7.55101 0.00229434
14 -7.54235 -7.55039 0.00221218
15 -7.5442 -7.54998 0.00210282
16 -7.55133 -7.55006 0.00197308
17 -7.54936 -7.55002 0.00185746
18 -7.53232 -7.54904 0.00199772
19 -7.53814 -7.54846 0.00197321
20 -7.54264 -7.54817 0.00189594
